dien_tich,so_phong_ngu,so_phong_tam,quan_huyen,loai_bds,gia_tien
204.4,4,3,Binh Tan,NhaO,16.16
89.8,5,5,Quan 12,NhaO,6.398
91.8,3,2,Binh Tan,CanHo,3.965
107.9,2,1,Go Vap,CanHo,4.777
115.2,5,3,Quan 8,NhaO,16.037
88.4,4,3,Quan 8,NhaO,11.26
121.9,2,2,Quan 5,CanHo,9.744
108.5,2,1,Quan 1,CanHo,11.868
108.9,3,1,Nha Be,NhaO,7.264
126.3,2,1,Quan 5,CanHo,10.185
136.3,2,1,Quan 7,CanHo,8.571
162.8,4,2,Phu Nhuan,NhaO,37.092
249.0,3,3,Quan 6,NhaO,41.159
236.4,4,2,Nha Be,NhaO,16.414
132.7,4,3,Thu Duc,NhaO,13.234
93.4,1,1,Quan 12,CanHo,3.377
101.5,2,2,Quan 8,NhaO,10.359
30.7,4,2,Quan 7,NhaO,4.297
57.0,2,1,Quan 3,CanHo,4.854
242.7,5,3,Quan 11,NhaO,43.145
61.0,3,1,Tan Binh,NhaO,7.151
39.7,2,1,Quan 6,CanHo,2.519
45.4,2,1,Tan Phu,CanHo,2.278
40.7,1,1,Tan Phu,CanHo,1.866
41.9,1,1,Quan 1,CanHo,5.079
170.1,4,3,Binh Tan,NhaO,11.48
136.7,4,3,Binh Tan,CanHo,5.414
124.6,3,2,Quan 5,CanHo,11.272
119.9,1,1,Phu Nhuan,CanHo,9.267
44.5,3,3,Binh Thanh,CanHo,3.961
37.9,3,2,Tan Binh,CanHo,2.575
102.1,3,2,Quan 8,NhaO,11.424
35.1,2,2,Quan 5,CanHo,2.768
140.2,3,3,Nha Be,NhaO,8.821
164.6,5,4,Quan 6,NhaO,26.493
122.2,4,4,Tan Binh,CanHo,8.592
81.5,4,2,Phu Nhuan,NhaO,18.842
104.6,6,5,Quan 4,NhaO,20.489
62.5,2,1,Quan 1,CanHo,8.47
84.3,3,2,Nha Be,CanHo,2.793
137.9,2,1,Quan 8,CanHo,6.943
66.4,4,3,Quan 3,CanHo,6.944
290.5,3,1,Binh Tan,NhaO,22.105
126.4,4,4,Quan 5,CanHo,11.844
110.0,3,3,Quan 1,CanHo,13.169
99.3,3,3,Binh Thanh,CanHo,9.264
99.7,4,4,Binh Thanh,CanHo,9.295
299.3,5,5,Quan 12,NhaO,22.064
149.8,5,4,Quan 5,NhaO,36.513
245.0,3,2,Binh Thanh,NhaO,35.473
173.4,4,2,Quan 10,NhaO,35.904
51.3,6,5,Quan 7,NhaO,8.196
276.5,3,3,Binh Tan,NhaO,19.403
59.6,1,1,Tan Phu,CanHo,2.842
149.3,3,1,Quan 4,NhaO,24.052
81.3,2,2,Quan 11,CanHo,6.127
57.6,3,2,Quan 5,CanHo,5.593
137.6,3,2,Quan 1,CanHo,15.822
231.2,6,5,Hoc Mon,NhaO,13.257
246.5,3,1,Hoc Mon,NhaO,10.099
99.9,1,1,Quan 6,CanHo,6.379
128.5,3,3,Binh Chanh,NhaO,7.291
51.0,2,1,Tan Binh,CanHo,3.184
59.8,4,3,Quan 7,CanHo,4.998
82.6,1,1,Quan 5,CanHo,6.848
291.2,6,4,Phu Nhuan,NhaO,68.077
60.6,1,1,Quan 1,CanHo,6.96
73.2,3,3,Binh Chanh,CanHo,2.057
98.9,3,3,Quan 1,CanHo,13.801
102.1,1,1,Quan 12,CanHo,2.923
298.9,2,2,Quan 12,NhaO,17.636
152.5,5,3,Phu Nhuan,NhaO,36.813
112.2,2,1,Binh Chanh,CanHo,2.891
76.1,2,2,Hoc Mon,CanHo,1.838
150.1,3,2,Tan Phu,NhaO,12.084
129.4,3,3,Nha Be,CanHo,4.312
286.2,6,5,Quan 5,NhaO,59.541
292.2,2,1,Hoc Mon,NhaO,11.679
85.4,6,4,Binh Chanh,NhaO,4.589
118.7,3,1,Quan 10,NhaO,18.797
175.9,6,6,Quan 6,NhaO,27.233
34.0,6,6,Quan 6,NhaO,5.985
101.6,3,1,Quan 7,NhaO,12.827
158.6,6,5,Quan 4,NhaO,32.512
166.0,4,4,Tan Phu,NhaO,17.037
101.5,1,1,Tan Phu,CanHo,4.951
106.1,4,3,Tan Binh,CanHo,6.585
194.2,2,2,Binh Thanh,NhaO,26.331
139.4,2,1,Phu Nhuan,CanHo,12.577
117.7,1,1,Quan 5,CanHo,8.993
121.5,4,3,Tan Binh,NhaO,16.574
145.2,5,4,Binh Thanh,NhaO,23.503
48.1,6,6,Binh Tan,NhaO,3.582
249.2,4,4,Go Vap,NhaO,25.688
76.4,3,3,Quan 5,CanHo,7.533
43.2,2,2,Go Vap,CanHo,2.173
124.5,4,3,Quan 5,NhaO,23.457
56.4,3,3,Binh Chanh,CanHo,1.559
51.5,2,1,Quan 1,CanHo,6.135
182.9,4,4,Quan 6,NhaO,25.759
231.5,3,2,Quan 4,NhaO,39.346
72.0,3,3,Quan 7,CanHo,5.994
233.7,2,1,Quan 7,NhaO,25.832
84.5,4,3,Tan Binh,CanHo,5.547
146.1,3,1,Go Vap,NhaO,13.965
104.1,1,1,Thu Duc,CanHo,4.926
85.2,3,3,Quan 1,NhaO,27.801
45.0,4,3,Binh Thanh,CanHo,3.659
108.0,3,3,Nha Be,CanHo,3.598
35.1,2,1,Tan Binh,NhaO,4.433
63.3,3,3,Tan Binh,CanHo,4.765
154.2,5,4,Hoc Mon,NhaO,7.01
147.6,4,2,Quan 10,NhaO,25.339
55.9,2,2,Binh Thanh,CanHo,4.518
167.7,6,5,Thu Duc,NhaO,16.36
57.8,3,3,Quan 10,NhaO,10.029
77.8,6,4,Quan 4,NhaO,15.586
101.4,3,2,Binh Chanh,CanHo,2.43
149.4,3,2,Binh Tan,NhaO,10.615
40.0,4,3,Thu Duc,CanHo,2.01
40.3,1,1,Quan 12,CanHo,1.294
275.4,4,2,Tan Phu,NhaO,23.6
48.3,1,1,Thu Duc,CanHo,2.109
86.5,2,2,Quan 4,CanHo,6.053
88.6,2,1,Tan Phu,CanHo,3.86
76.1,3,3,Phu Nhuan,CanHo,7.994
67.6,3,2,Quan 4,CanHo,4.923
52.0,5,5,Binh Thanh,NhaO,9.814
45.9,1,1,Phu Nhuan,CanHo,4.029
104.4,1,1,Quan 6,CanHo,6.219
113.4,3,2,Go Vap,NhaO,11.806
56.5,2,2,Quan 8,CanHo,2.783
238.1,6,4,Thu Duc,NhaO,26.064
266.6,4,4,Binh Thanh,NhaO,44.161
78.8,5,3,Quan 7,NhaO,12.287
41.8,3,1,Tan Phu,NhaO,3.881
62.8,4,4,Hoc Mon,CanHo,1.638
129.6,2,1,Binh Tan,CanHo,4.885
115.1,3,2,Tan Phu,CanHo,6.172
67.4,3,3,Hoc Mon,NhaO,3.244
132.9,1,1,Nha Be,CanHo,3.591
151.3,4,4,Quan 11,NhaO,27.595
250.5,3,3,Quan 10,NhaO,46.412
72.4,3,3,Thu Duc,CanHo,3.853
281.3,6,4,Binh Thanh,NhaO,50.533
40.3,6,5,Quan 6,NhaO,7.158
151.1,2,2,Binh Tan,NhaO,8.841
178.2,5,3,Quan 6,NhaO,28.278
94.2,2,2,Quan 12,NhaO,5.564
44.0,4,4,Quan 4,CanHo,3.823
108.6,2,1,Quan 6,NhaO,14.12
103.8,1,1,Quan 7,CanHo,6.181
265.8,2,1,Phu Nhuan,NhaO,50.857
112.7,3,3,Quan 11,CanHo,7.669
228.5,3,3,Binh Chanh,NhaO,10.353
121.7,4,3,Quan 7,CanHo,9.889
223.3,4,4,Quan 4,NhaO,39.633
269.2,3,2,Quan 8,NhaO,30.729
36.0,2,1,Quan 11,CanHo,2.265
103.8,6,5,Binh Thanh,NhaO,17.984
128.6,3,2,Tan Phu,CanHo,6.907
71.7,2,2,Binh Tan,CanHo,2.796
192.7,6,6,Tan Binh,NhaO,30.757
40.6,2,1,Quan 5,CanHo,3.246
106.5,3,2,Quan 7,CanHo,6.972
139.8,2,2,Hoc Mon,CanHo,2.867
87.4,2,2,Go Vap,CanHo,3.838
45.6,2,1,Quan 3,CanHo,4.21
71.4,4,3,Hoc Mon,NhaO,3.326
67.2,3,2,Binh Chanh,NhaO,3.217
135.7,1,1,Quan 10,CanHo,9.97
44.7,2,1,Nha Be,CanHo,1.306
53.6,2,2,Binh Tan,CanHo,1.951
119.5,3,2,Quan 4,CanHo,9.798
123.9,2,1,Quan 12,CanHo,4.195
243.9,3,2,Quan 8,NhaO,24.35
118.8,2,2,Tan Phu,CanHo,4.86
88.8,3,3,Binh Tan,CanHo,3.138
80.6,3,3,Quan 4,CanHo,7.026
146.8,6,6,Quan 6,NhaO,27.42
74.5,3,1,Quan 12,NhaO,4.461
59.1,2,2,Quan 4,CanHo,4.565
203.1,4,2,Thu Duc,NhaO,16.549
36.4,1,1,Binh Chanh,CanHo,0.764
114.8,3,3,Quan 8,CanHo,6.731
84.2,3,2,Quan 12,CanHo,2.987
148.7,4,3,Quan 7,NhaO,19.154
262.6,3,1,Binh Thanh,NhaO,43.289
46.1,3,3,Phu Nhuan,CanHo,4.297
60.9,2,2,Quan 5,CanHo,4.525
125.3,3,3,Phu Nhuan,CanHo,13.709
282.1,5,4,Binh Thanh,NhaO,43.422
298.9,4,3,Binh Tan,NhaO,24.119
41.7,3,2,Quan 1,CanHo,6.149
125.3,2,1,Binh Chanh,NhaO,5.919
90.0,1,1,Quan 12,CanHo,2.643
114.5,3,3,Go Vap,CanHo,5.727
179.4,2,1,Go Vap,NhaO,15.776
105.5,1,1,Hoc Mon,CanHo,2.559
117.8,3,2,Go Vap,CanHo,6.31
167.5,4,4,Hoc Mon,NhaO,7.266
247.1,4,3,Binh Thanh,NhaO,35.613
281.5,3,3,Binh Thanh,NhaO,41.818
68.3,4,3,Binh Chanh,CanHo,1.892
119.4,2,1,Go Vap,NhaO,10.714
158.1,5,3,Hoc Mon,NhaO,8.046
159.7,4,2,Binh Chanh,NhaO,8.807
120.7,2,2,Quan 6,CanHo,7.786
35.1,3,2,Quan 8,NhaO,3.633
165.5,4,3,Tan Binh,NhaO,25.29
170.0,4,3,Quan 6,NhaO,29.174
72.7,2,1,Thu Duc,CanHo,4.075
70.3,2,1,Nha Be,CanHo,2.041
180.7,3,2,Quan 11,NhaO,30.078
115.6,3,1,Binh Tan,NhaO,8.732
45.2,3,2,Quan 12,CanHo,1.756
41.4,5,5,Quan 12,NhaO,2.982
112.7,2,2,Quan 11,CanHo,8.162
107.2,2,2,Nha Be,CanHo,3.559
43.7,4,4,Quan 10,NhaO,9.068
141.6,5,4,Quan 5,NhaO,28.052
290.4,3,2,Quan 1,NhaO,90.311
102.3,2,1,Binh Tan,CanHo,3.483
206.1,3,1,Quan 4,NhaO,37.164
142.8,6,6,Quan 7,NhaO,25.045
242.7,3,1,Phu Nhuan,NhaO,55.681
33.0,1,1,Quan 3,CanHo,2.863
123.9,4,3,Quan 6,CanHo,7.955
73.9,4,2,Binh Thanh,NhaO,10.759
228.9,6,5,Quan 1,NhaO,82.034
195.0,5,4,Quan 7,NhaO,31.122
75.3,1,1,Quan 4,CanHo,5.945
133.1,1,1,Binh Thanh,CanHo,9.767
135.0,2,2,Quan 11,CanHo,8.462
38.7,1,1,Quan 10,CanHo,2.703
131.7,2,2,Thu Duc,CanHo,7.067
98.4,2,2,Go Vap,CanHo,4.732
72.4,4,4,Hoc Mon,CanHo,1.998
150.6,5,4,Thu Duc,NhaO,12.935
253.8,4,4,Quan 3,NhaO,65.179
118.6,4,3,Quan 7,NhaO,14.903
162.0,4,3,Binh Chanh,NhaO,9.31
87.4,4,4,Quan 6,CanHo,6.309
74.8,1,1,Quan 1,CanHo,9.071
123.0,2,1,Tan Binh,NhaO,17.175
38.6,4,4,Binh Tan,NhaO,3.095
139.2,3,2,Go Vap,CanHo,7.663
40.7,2,1,Phu Nhuan,CanHo,3.307
45.8,2,2,Thu Duc,CanHo,2.53
104.7,3,2,Tan Phu,CanHo,5.43
123.5,3,3,Tan Phu,NhaO,12.594
248.6,4,2,Quan 3,NhaO,64.348
85.6,2,1,Quan 10,NhaO,13.148
229.9,4,3,Quan 10,NhaO,42.08
67.8,3,3,Quan 3,NhaO,17.471
96.6,3,3,Binh Chanh,CanHo,2.465
89.7,3,2,Thu Duc,NhaO,6.856
180.1,2,1,Tan Binh,NhaO,24.846
66.4,3,2,Thu Duc,CanHo,3.253
113.5,4,4,Quan 7,CanHo,9.916
119.0,1,1,Quan 6,CanHo,7.925
95.6,3,2,Phu Nhuan,NhaO,20.779
42.0,2,2,Go Vap,CanHo,1.91
80.8,6,4,Quan 4,NhaO,17.148
86.4,3,2,Binh Tan,NhaO,6.703
283.0,5,5,Quan 8,NhaO,38.987
107.1,2,1,Quan 10,CanHo,9.078
73.1,3,2,Quan 12,CanHo,2.464
42.6,4,3,Tan Phu,CanHo,2.39
76.7,2,2,Binh Thanh,CanHo,5.412
48.5,3,3,Quan 12,CanHo,1.723
178.7,5,4,Binh Tan,NhaO,13.004
81.8,3,3,Binh Tan,CanHo,2.902
131.0,1,1,Quan 7,CanHo,9.544
236.4,4,4,Quan 3,NhaO,64.851
220.9,2,2,Quan 4,NhaO,36.934
98.7,4,3,Quan 3,CanHo,9.308
33.8,2,1,Quan 1,CanHo,3.667
43.6,1,1,Quan 7,CanHo,2.727
60.9,3,3,Go Vap,CanHo,3.024
93.0,2,1,Tan Phu,CanHo,4.388
55.2,4,3,Quan 3,NhaO,13.829
219.8,2,1,Quan 1,NhaO,67.383
137.6,1,1,Binh Chanh,CanHo,3.044
37.0,1,1,Quan 11,CanHo,2.558
280.8,3,3,Quan 7,NhaO,42.232
280.8,3,3,Phu Nhuan,NhaO,61.043
67.8,2,2,Nha Be,CanHo,2.186
42.6,2,2,Quan 3,CanHo,3.998
35.2,2,1,Binh Thanh,CanHo,2.768
133.6,3,3,Nha Be,CanHo,4.783
115.4,2,2,Quan 4,CanHo,9.11
71.6,5,3,Quan 11,NhaO,11.134
71.0,1,1,Binh Thanh,CanHo,5.984
114.2,1,1,Go Vap,CanHo,4.633
92.2,3,3,Tan Phu,CanHo,3.957
42.1,3,2,Nha Be,CanHo,1.234
116.2,2,2,Phu Nhuan,CanHo,11.214
102.6,3,2,Quan 6,NhaO,13.393
104.5,3,2,Tan Binh,NhaO,14.759
134.0,4,4,Quan 11,CanHo,9.939
31.8,4,3,Quan 12,NhaO,2.412
79.5,3,3,Binh Thanh,CanHo,6.452
114.8,4,3,Binh Tan,NhaO,7.987
116.5,3,2,Binh Chanh,CanHo,2.894
44.3,2,2,Go Vap,CanHo,2.243
284.6,3,2,Tan Phu,NhaO,27.504
211.7,3,1,Tan Binh,NhaO,25.898
109.2,3,3,Quan 6,CanHo,7.244
75.3,3,3,Binh Chanh,CanHo,2.176
96.1,1,1,Nha Be,CanHo,3.109
101.9,1,1,Quan 7,CanHo,7.648
43.4,1,1,Tan Binh,CanHo,2.395
131.0,4,2,Tan Phu,NhaO,12.484
299.4,4,4,Go Vap,NhaO,28.601
254.5,5,5,Quan 5,NhaO,55.021
116.7,4,3,Tan Phu,CanHo,5.881
66.4,2,2,Tan Phu,CanHo,3.302
259.3,5,5,Quan 1,NhaO,92.419
169.3,4,4,Quan 10,NhaO,32.449
57.0,3,3,Tan Phu,CanHo,2.561
35.2,2,1,Phu Nhuan,CanHo,3.247
108.1,2,1,Quan 1,CanHo,14.261
57.5,6,4,Binh Chanh,NhaO,3.072
81.4,2,1,Quan 8,CanHo,4.431
74.0,3,3,Hoc Mon,CanHo,1.738
50.6,2,2,Hoc Mon,CanHo,1.217
57.8,1,1,Quan 5,CanHo,4.351
134.9,4,4,Thu Duc,NhaO,12.799
84.6,2,2,Quan 7,CanHo,6.023
114.9,4,2,Quan 7,NhaO,13.897
84.3,2,1,Quan 1,CanHo,11.69
105.9,3,2,Tan Binh,CanHo,6.951
38.3,6,6,Binh Chanh,NhaO,2.184
90.1,2,1,Quan 10,CanHo,7.016
87.2,1,1,Nha Be,CanHo,2.826
120.8,1,1,Nha Be,CanHo,3.699
111.5,2,1,Quan 5,CanHo,9.913
101.0,6,6,Tan Phu,NhaO,10.694
86.7,5,3,Quan 10,NhaO,18.504
98.5,2,2,Quan 7,CanHo,7.584
62.4,2,1,Nha Be,CanHo,2.21
93.9,1,1,Quan 12,CanHo,3.407
139.2,2,2,Quan 3,CanHo,12.745
114.2,3,2,Quan 10,CanHo,8.438
72.5,1,1,Tan Binh,CanHo,4.202
81.1,4,3,Go Vap,CanHo,4.409
201.4,5,4,Tan Phu,NhaO,22.036
136.6,2,1,Quan 8,CanHo,6.944
91.1,2,1,Binh Thanh,CanHo,7.714
56.9,6,5,Quan 3,NhaO,13.686
153.3,4,4,Tan Phu,NhaO,16.761
72.9,3,3,Quan 12,NhaO,5.095
72.2,2,2,Quan 4,CanHo,5.259
78.4,1,1,Quan 10,CanHo,5.021
46.3,2,1,Quan 4,CanHo,2.961
138.7,3,3,Quan 5,CanHo,12.134
54.1,6,6,Phu Nhuan,NhaO,12.191
46.8,2,2,Quan 12,CanHo,1.437
205.5,4,3,Hoc Mon,NhaO,10.465
196.3,4,4,Tan Binh,NhaO,24.945
233.2,4,2,Quan 6,NhaO,33.727
117.4,2,1,Binh Thanh,CanHo,9.599
192.3,5,3,Nha Be,NhaO,12.403
85.5,4,2,Quan 12,NhaO,5.374
101.8,2,1,Quan 12,CanHo,3.338
202.3,2,1,Binh Tan,NhaO,14.536
282.2,3,2,Go Vap,NhaO,28.792
91.0,2,1,Go Vap,CanHo,4.808
188.6,2,1,Quan 1,NhaO,49.213
166.8,5,3,Phu Nhuan,NhaO,38.337
107.8,1,1,Tan Binh,CanHo,6.04
87.2,2,2,Quan 4,CanHo,6.587
100.5,1,1,Binh Chanh,CanHo,2.512
96.0,4,4,Quan 3,NhaO,23.911
209.8,5,3,Quan 12,NhaO,13.886
219.4,3,2,Quan 6,NhaO,35.185
72.2,2,2,Quan 7,CanHo,5.514
247.9,3,1,Binh Thanh,NhaO,32.229
152.9,3,3,Binh Tan,NhaO,10.837
72.5,6,6,Go Vap,NhaO,8.934
230.0,2,2,Quan 10,NhaO,44.838
42.4,3,2,Quan 10,NhaO,8.717
179.3,5,3,Quan 3,NhaO,47.747
97.0,5,4,Binh Thanh,NhaO,15.271
130.7,4,2,Binh Chanh,NhaO,7.525
247.2,2,1,Quan 10,NhaO,38.361
115.5,2,1,Quan 12,CanHo,3.487
71.8,2,1,Quan 1,CanHo,9.443
129.4,4,4,Tan Phu,NhaO,13.297
31.7,4,4,Quan 6,NhaO,4.58
134.7,1,1,Quan 1,CanHo,17.451
54.2,2,1,Quan 5,CanHo,4.386
222.1,2,2,Quan 6,NhaO,34.015
81.5,1,1,Go Vap,CanHo,3.704
95.9,1,1,Quan 4,CanHo,7.018
108.8,6,5,Quan 10,NhaO,26.366
66.4,2,2,Binh Thanh,CanHo,4.766
240.6,4,4,Quan 6,NhaO,34.015
155.8,4,4,Tan Phu,NhaO,15.246
113.2,3,3,Tan Phu,NhaO,9.282
36.4,3,3,Hoc Mon,CanHo,0.796
137.0,2,1,Go Vap,NhaO,11.411
287.1,6,5,Quan 1,NhaO,102.584
154.8,6,6,Quan 5,NhaO,33.063
65.3,6,5,Quan 10,NhaO,13.792
188.3,6,6,Binh Chanh,NhaO,9.946
273.7,4,4,Quan 8,NhaO,30.084
36.6,4,4,Quan 5,CanHo,3.116
85.6,3,2,Phu Nhuan,CanHo,7.506
104.2,4,4,Quan 7,NhaO,13.043
164.7,4,3,Quan 12,NhaO,10.184
46.8,2,2,Phu Nhuan,CanHo,4.456
241.1,3,2,Phu Nhuan,NhaO,51.077
130.6,3,2,Go Vap,CanHo,6.177
191.2,2,1,Binh Thanh,NhaO,23.857
70.6,2,2,Thu Duc,CanHo,3.281
174.1,6,4,Quan 11,NhaO,27.737
258.6,6,5,Binh Chanh,NhaO,14.731
93.9,3,1,Quan 7,NhaO,12.717
285.8,4,4,Go Vap,NhaO,29.288
176.4,3,2,Binh Tan,NhaO,10.789
192.4,2,1,Quan 10,NhaO,33.394
53.8,2,1,Hoc Mon,CanHo,1.279
34.4,2,2,Quan 3,CanHo,3.667
72.3,3,3,Quan 4,CanHo,5.502
137.4,3,2,Quan 6,CanHo,9.392
217.3,4,3,Nha Be,NhaO,13.302
112.8,5,4,Phu Nhuan,NhaO,23.883
135.7,6,4,Binh Chanh,NhaO,6.937
55.9,1,1,Hoc Mon,CanHo,1.096
123.6,3,3,Quan 10,NhaO,24.234
150.6,3,3,Binh Thanh,NhaO,21.523
99.3,2,1,Go Vap,NhaO,7.603
111.1,2,1,Tan Phu,CanHo,4.996
91.0,1,1,Go Vap,CanHo,4.437
151.8,6,6,Quan 7,NhaO,22.684
134.8,1,1,Quan 11,CanHo,7.732
111.1,1,1,Quan 7,CanHo,7.624
78.6,2,1,Quan 1,CanHo,8.877
85.5,3,2,Binh Thanh,NhaO,13.441
64.1,1,1,Quan 12,CanHo,2.021
37.9,1,1,Quan 6,CanHo,2.014
42.5,2,2,Quan 8,CanHo,2.432
257.8,3,2,Binh Tan,NhaO,17.762
101.3,3,3,Quan 4,CanHo,7.78
52.2,1,1,Go Vap,CanHo,2.333
122.4,1,1,Quan 10,CanHo,9.579
210.4,6,4,Quan 4,NhaO,41.279
46.5,4,2,Nha Be,NhaO,2.941
127.2,4,3,Binh Chanh,CanHo,3.163
184.2,4,2,Thu Duc,NhaO,17.229
286.3,4,4,Quan 5,NhaO,68.131
248.3,3,3,Quan 8,NhaO,28.259
139.7,2,1,Quan 8,CanHo,7.201
134.8,4,2,Quan 4,NhaO,23.195
81.5,1,1,Thu Duc,CanHo,3.568
183.0,4,4,Quan 6,NhaO,31.495
264.2,3,2,Quan 12,NhaO,16.335
97.8,1,1,Binh Chanh,CanHo,2.191
194.3,5,4,Hoc Mon,NhaO,8.708
37.3,4,3,Quan 10,CanHo,3.544
250.7,3,2,Binh Thanh,NhaO,35.386
137.0,2,2,Quan 5,CanHo,10.774
61.1,3,3,Binh Thanh,CanHo,4.807
230.1,6,4,Tan Binh,NhaO,38.333
243.7,2,1,Thu Duc,NhaO,20.826
116.3,1,1,Quan 6,CanHo,6.366
97.4,4,4,Quan 3,NhaO,27.196
129.5,4,2,Quan 11,NhaO,20.359
95.3,4,2,Quan 1,NhaO,29.187
91.5,3,3,Binh Chanh,CanHo,2.674
62.8,3,3,Quan 4,CanHo,4.556
204.8,5,5,Quan 10,NhaO,40.71
34.2,1,1,Thu Duc,CanHo,1.839
246.2,3,2,Hoc Mon,NhaO,11.51
77.8,3,2,Quan 11,CanHo,5.344
111.6,4,2,Tan Phu,NhaO,10.123
